"Directory","Status","Message"
"R002_gitcode_szdaniel_S6T","Pass",""
"R071_github_2044145178_AscendC_S4","Pass",""
"R072_github_2044145178_AscendC_S5","Pass",""
"R073_github_ascend-124_s4","Pass",""
"R074_github_ascend-124_s5","Pass",""
"R075_github_ascend-124_s6","Pass",""
"R076_github_asfsdsf_AscendC-S6","Pass",""
"R077_github_Brown-Bert_S4","Pass",""
"R078_github_Brown-Bert_S5","Pass",""
"R079_github_bubu-12_Ascendc-S4","Pass",""
"R080_github_bubu-12_Ascendc-S5","Pass",""
"R081_github_Cishoon_AscendC-S4-Basic","Pass",""
"R082_github_clamee_-AI---","Pass",""
"R083_github_clamee_s6-Hypot","Pass",""
"R084_github_DanceToBurning_Ascend-S6-","Pass",""
"R085_github_halfstark_ascend-s5","Pass",""
"R086_github_JackSimbol02_CANN-Comp","Pass",""
"R087_github_KaranocaVe_AscendC-S6","Pass",""
"R088_github_kgcyyds_S4","Pass",""
"R089_github_kgcyyds_S5_HustAga","Pass",""
"R090_github_kgcyyds_S6","Pass",""
"R091_github_linnlh_ascendc-2024-final","Pass",""
"R092_github_meaningfuI_Ascend-S5","Pass",""
"R093_github_MiracleDrawer_Ascend_S4","Pass",""
"R094_github_Qeeweew_AscendC-2025-5-23","Pass",""
"R095_github_Qeeweew_AscendC-S4","Pass",""
"R096_github_Qeeweew_AscendC-S5-GluJvp","Pass",""
"R097_github_Qeeweew_AscendC-S6-Logcumsumexp","Pass",""
"R098_github_Rotaeno_Pows","Pass",""
"R099_github_rura-t_AscendOps","Pass",""
"R100_github_ShwStone_Ascend-S5","Pass",""
"R101_github_sunkafei_ascend-operator-challenge-final","Pass",""
"R102_github_T1z1anXXX_champion2024-ascend-oprator","Pass",""
"R103_github_tangyhang_ascend--challenge-2024","Pass",""
"R104_github_ustc1587_ReduceLogSumExp","Pass",""
"R106_github_winfan1314_AscendC-ops-24Final-Tangefly","Pass",""
"R107_github_winfan1314_AscendC-S4-Base","Pass",""
"R108_github_wybxw_Ascend_ops_Base_S6","Pass",""
"R109_github_wybxw_Ascend_ops_Performance_S6","Pass",""
"R110_github_XKevin63_ascendC-S4-Base","Pass",""
"R111_github_xxxkkw_Ascend-AI-Innovation-Operator-Challenge-S4-Season","Pass",""
"R112_github_yuntaoyulong_-S5-","Pass",""
"R113_github_zzh-stable_ascend-s5","Pass",""
