"Index","OriginalUrl","CloneUrl","Directory"
"1","https://gitcode.com/LiJianhao2/AscendS6","https://gitcode.com/LiJianhao2/AscendS6.git","R001_gitcode_LiJianhao2_AscendS6"
"2","https://gitcode.com/szdaniel/S6T","https://gitcode.com/szdaniel/S6T.git","R002_gitcode_szdaniel_S6T"
"3","https://gitee.com/a1535135509/S4_-Gather/tree/master","https://gitee.com/a1535135509/S4_-Gather.git","R003_gitee_a1535135509_S4_-Gather"
"4","https://gitee.com/a1535135509/titr_-js","https://gitee.com/a1535135509/titr_-js.git","R004_gitee_a1535135509_titr_-js"
"5","https://gitee.com/a3276132451/ascend-c-champion-nobi","https://gitee.com/a3276132451/ascend-c-champion-nobi.git","R005_gitee_a3276132451_ascend-c-champion-nobi"
"6","https://gitee.com/aallyy/s4-competition-open-source","https://gitee.com/aallyy/s4-competition-open-source.git","R006_gitee_aallyy_s4-competition-open-source"
"7","https://gitee.com/aallyy/s5-competition-open-source","https://gitee.com/aallyy/s5-competition-open-source.git","R007_gitee_aallyy_s5-competition-open-source"
"8","https://gitee.com/alizen/ascend-s3_base","https://gitee.com/alizen/ascend-s3_base.git","R008_gitee_alizen_ascend-s3_base"
"9","https://gitee.com/aoitok/ascendc_s4","https://gitee.com/aoitok/ascendc_s4.git","R009_gitee_aoitok_ascendc_s4"
"10","https://gitee.com/ascend-operator/s4","https://gitee.com/ascend-operator/s4.git","R010_gitee_ascend-operator_s4"
"11","https://gitee.com/ascend-operator/s6","https://gitee.com/ascend-operator/s6.git","R011_gitee_ascend-operator_s6"
"12","https://gitee.com/atom0123/reduce-log-sum-exp","https://gitee.com/atom0123/reduce-log-sum-exp.git","R012_gitee_atom0123_reduce-log-sum-exp"
"13","https://gitee.com/bingfeng777/ascend-operator-challenge-2024championships-challenge","https://gitee.com/bingfeng777/ascend-operator-challenge-2024championships-challenge.git","R013_gitee_bingfeng777_ascend-operator-challenge-2024championships-challenge"
"14","https://gitee.com/bingfeng777/ascend-operator-challenge-s4-challenge","https://gitee.com/bingfeng777/ascend-operator-challenge-s4-challenge.git","R014_gitee_bingfeng777_ascend-operator-challenge-s4-challenge"
"15","https://gitee.com/bingfeng777/ascend-operator-challenge-s5-challenge-ikuyo","https://gitee.com/bingfeng777/ascend-operator-challenge-s5-challenge-ikuyo.git","R015_gitee_bingfeng777_ascend-operator-challenge-s5-challenge-ikuyo"
"16","https://gitee.com/bingfeng777/ascend-operator-challenge-s6-challenge-ikuyo","https://gitee.com/bingfeng777/ascend-operator-challenge-s6-challenge-ikuyo.git","R016_gitee_bingfeng777_ascend-operator-challenge-s6-challenge-ikuyo"
"17","https://gitee.com/chengjiajun2023/s4","https://gitee.com/chengjiajun2023/s4.git","R017_gitee_chengjiajun2023_s4"
"18","https://gitee.com/darkduckforyou/ascend-s4","https://gitee.com/darkduckforyou/ascend-s4.git","R018_gitee_darkduckforyou_ascend-s4"
"19","https://gitee.com/Doubleen233/ascend-c-s5-base","https://gitee.com/Doubleen233/ascend-c-s5-base.git","R019_gitee_Doubleen233_ascend-c-s5-base"
"20","https://gitee.com/Doubleen233/ascend-c-s6-base","https://gitee.com/Doubleen233/ascend-c-s6-base.git","R020_gitee_Doubleen233_ascend-c-s6-base"
"21","https://gitee.com/DreamOfAnts/td-worker-s2","https://gitee.com/DreamOfAnts/td-worker-s2.git","R021_gitee_DreamOfAnts_td-worker-s2"
"22","https://gitee.com/fine116/kun-jin-cuo-hot-pot---s4","https://gitee.com/fine116/kun-jin-cuo-hot-pot---s4.git","R022_gitee_fine116_kun-jin-cuo-hot-pot---s4"
"23","https://gitee.com/gao-fuchang/GatherV3","https://gitee.com/gao-fuchang/GatherV3.git","R023_gitee_gao-fuchang_GatherV3"
"24","https://gitee.com/gao-fuchang/s6-groupnorm","https://gitee.com/gao-fuchang/s6-groupnorm.git","R024_gitee_gao-fuchang_s6-groupnorm"
"25","https://gitee.com/guo-guotong/ascend-developer-competition/tree/master/","https://gitee.com/guo-guotong/ascend-developer-competition.git","R025_gitee_guo-guotong_ascend-developer-competition"
"26","https://gitee.com/h_y_bb/s5-ascend/tree/master/GatherV3","https://gitee.com/h_y_bb/s5-ascend.git","R026_gitee_h_y_bb_s5-ascend"
"27","https://gitee.com/ieu-space/fractional-max-pool3-dgrad","https://gitee.com/ieu-space/fractional-max-pool3-dgrad.git","R027_gitee_ieu-space_fractional-max-pool3-dgrad"
"28","https://gitee.com/jinjinshuhua/competition-archive","https://gitee.com/jinjinshuhua/competition-archive.git","R028_gitee_jinjinshuhua_competition-archive"
"29","https://gitee.com/justmemb/s5","https://gitee.com/justmemb/s5.git","R029_gitee_justmemb_s5"
"30","https://gitee.com/kinnnnnnn/gcd_out","https://gitee.com/kinnnnnnn/gcd_out.git","R030_gitee_kinnnnnnn_gcd_out"
"31","https://gitee.com/lijie1001/glu-jvp","https://gitee.com/lijie1001/glu-jvp.git","R031_gitee_lijie1001_glu-jvp"
"32","https://gitee.com/miracleqiji/Ascend_C_2024","https://gitee.com/miracleqiji/Ascend_C_2024.git","R032_gitee_miracleqiji_Ascend_C_2024"
"33","https://gitee.com/miracleqiji/Ascend_C_S4","https://gitee.com/miracleqiji/Ascend_C_S4.git","R033_gitee_miracleqiji_Ascend_C_S4"
"34","https://gitee.com/miracleqiji/Ascend_C_S5","https://gitee.com/miracleqiji/Ascend_C_S5.git","R034_gitee_miracleqiji_Ascend_C_S5"
"35","https://gitee.com/miracleqiji/Ascend_C_S6/tree/master/","https://gitee.com/miracleqiji/Ascend_C_S6.git","R035_gitee_miracleqiji_Ascend_C_S6"
"36","https://gitee.com/Nicet/no-one-ascend-coperator-s4","https://gitee.com/Nicet/no-one-ascend-coperator-s4.git","R036_gitee_Nicet_no-one-ascend-coperator-s4"
"37","https://gitee.com/Nicet/npu-iil-stars-final","https://gitee.com/Nicet/npu-iil-stars-final.git","R037_gitee_Nicet_npu-iil-stars-final"
"38","https://gitee.com/Nicet/s5-code","https://gitee.com/Nicet/s5-code.git","R038_gitee_Nicet_s5-code"
"39","https://gitee.com/Nicet/s6-code","https://gitee.com/Nicet/s6-code.git","R039_gitee_Nicet_s6-code"
"40","https://gitee.com/noninfinity/ascend-c-s4-performance.git","https://gitee.com/noninfinity/ascend-c-s4-performance.git","R040_gitee_noninfinity_ascend-c-s4-performance"
"41","https://gitee.com/noninfinity/s6","https://gitee.com/noninfinity/s6.git","R041_gitee_noninfinity_s6"
"42","https://gitee.com/nxd3/Ascend-AI-Operator-Challenge-S4-Challenge-Code","https://gitee.com/nxd3/Ascend-AI-Operator-Challenge-S4-Challenge-Code.git","R042_gitee_nxd3_Ascend-AI-Operator-Challenge-S4-Challenge-Code"
"43","https://gitee.com/rezxc/ascend-c_-s6","https://gitee.com/rezxc/ascend-c_-s6.git","R043_gitee_rezxc_ascend-c_-s6"
"44","https://gitee.com/sun_jie001/champion","https://gitee.com/sun_jie001/champion.git","R044_gitee_sun_jie001_champion"
"45","https://gitee.com/sun_jie001/s4","https://gitee.com/sun_jie001/s4.git","R045_gitee_sun_jie001_s4"
"46","https://gitee.com/syn006/s4/tree/master/s5","https://gitee.com/syn006/s4.git","R046_gitee_syn006_s4"
"47","https://gitee.com/timmy2015/2024-Annual-Championship-Finals-Ascend-C","https://gitee.com/timmy2015/2024-Annual-Championship-Finals-Ascend-C.git","R047_gitee_timmy2015_2024-Annual-Championship-Finals-Ascend-C"
"48","https://gitee.com/timmy2015/s6-ascend-c","https://gitee.com/timmy2015/s6-ascend-c.git","R048_gitee_timmy2015_s6-ascend-c"
"49","https://gitee.com/vexlife/ascendc_s4","https://gitee.com/vexlife/ascendc_s4.git","R049_gitee_vexlife_ascendc_s4"
"50","https://gitee.com/wang-shuai2395/us5/tree/master","https://gitee.com/wang-shuai2395/us5.git","R050_gitee_wang-shuai2395_us5"
"51","https://gitee.com/wang-shuai2395/us6","https://gitee.com/wang-shuai2395/us6.git","R051_gitee_wang-shuai2395_us6"
"52","https://gitee.com/wenyidylan/ascend-c_ops_-s6","https://gitee.com/wenyidylan/ascend-c_ops_-s6.git","R052_gitee_wenyidylan_ascend-c_ops_-s6"
"53","https://gitee.com/wenyidylan/AscendC-2024final","https://gitee.com/wenyidylan/AscendC-2024final.git","R053_gitee_wenyidylan_AscendC-2024final"
"54","https://gitee.com/wenyidylan/AscendC-S4","https://gitee.com/wenyidylan/AscendC-S4.git","R054_gitee_wenyidylan_AscendC-S4"
"55","https://gitee.com/xiao-xunpeng/cann-ops-s6-challenge","https://gitee.com/xiao-xunpeng/cann-ops-s6-challenge.git","R055_gitee_xiao-xunpeng_cann-ops-s6-challenge"
"56","https://gitee.com/xiao-xunpeng/s6-basic-operator","https://gitee.com/xiao-xunpeng/s6-basic-operator.git","R056_gitee_xiao-xunpeng_s6-basic-operator"
"57","https://gitee.com/xiao-xunpeng/s6-challenge-operator","https://gitee.com/xiao-xunpeng/s6-challenge-operator.git","R057_gitee_xiao-xunpeng_s6-challenge-operator"
"58","https://gitee.com/xingke2021/Operator-S5-Base/","https://gitee.com/xingke2021/Operator-S5-Base.git","R058_gitee_xingke2021_Operator-S5-Base"
"59","https://gitee.com/xingke2021/Operator-S6-Base/","https://gitee.com/xingke2021/Operator-S6-Base.git","R059_gitee_xingke2021_Operator-S6-Base"
"60","https://gitee.com/y-py014/AscendC-2024Final","https://gitee.com/y-py014/AscendC-2024Final.git","R060_gitee_y-py014_AscendC-2024Final"
"61","https://gitee.com/y-py014/AscendC-S4","https://gitee.com/y-py014/AscendC-S4.git","R061_gitee_y-py014_AscendC-S4"
"62","https://gitee.com/y-py014/AscendC-S5/","https://gitee.com/y-py014/AscendC-S5.git","R062_gitee_y-py014_AscendC-S5"
"63","https://gitee.com/yellow-fitness/arg-min","https://gitee.com/yellow-fitness/arg-min.git","R063_gitee_yellow-fitness_arg-min"
"64","https://gitee.com/yellow-fitness/log-sum-exponent-reduction","https://gitee.com/yellow-fitness/log-sum-exponent-reduction.git","R064_gitee_yellow-fitness_log-sum-exponent-reduction"
"65","https://gitee.com/yolo_mic/ascend-cs6","https://gitee.com/yolo_mic/ascend-cs6.git","R065_gitee_yolo_mic_ascend-cs6"
"66","https://gitee.com/znynn/2024-championship-tournament/tree/master/","https://gitee.com/znynn/2024-championship-tournament.git","R066_gitee_znynn_2024-championship-tournament"
"67","https://gitee.com/znynn/gdufs-s4-basic-performance-operators","https://gitee.com/znynn/gdufs-s4-basic-performance-operators.git","R067_gitee_znynn_gdufs-s4-basic-performance-operators"
"68","https://gitee.com/znynn/s5basicoperator/tree/master/FresnelCosGoldenSample/_zip","https://gitee.com/znynn/s5basicoperator.git","R068_gitee_znynn_s5basicoperator"
"69","https://gitee.com/znynn/s6basicopeator/tree/master/GroupNorm","https://gitee.com/znynn/s6basicopeator.git","R069_gitee_znynn_s6basicopeator"
"70","https://gitee.com/zzh-stable/ascend-s4","https://gitee.com/zzh-stable/ascend-s4.git","R070_gitee_zzh-stable_ascend-s4"
"71","https://github.com/2044145178/AscendC_S4#","https://github.com/2044145178/AscendC_S4.git","R071_github_2044145178_AscendC_S4"
"72","https://github.com/2044145178/AscendC_S5","https://github.com/2044145178/AscendC_S5.git","R072_github_2044145178_AscendC_S5"
"73","https://github.com/ascend-124/s4","https://github.com/ascend-124/s4.git","R073_github_ascend-124_s4"
"74","https://github.com/ascend-124/s5","https://github.com/ascend-124/s5.git","R074_github_ascend-124_s5"
"75","https://github.com/ascend-124/s6","https://github.com/ascend-124/s6.git","R075_github_ascend-124_s6"
"76","https://github.com/asfsdsf/AscendC-S6","https://github.com/asfsdsf/AscendC-S6.git","R076_github_asfsdsf_AscendC-S6"
"77","https://github.com/Brown-Bert/S4.git","https://github.com/Brown-Bert/S4.git","R077_github_Brown-Bert_S4"
"78","https://github.com/Brown-Bert/S5","https://github.com/Brown-Bert/S5.git","R078_github_Brown-Bert_S5"
"79","https://github.com/bubu-12/Ascendc-S4","https://github.com/bubu-12/Ascendc-S4.git","R079_github_bubu-12_Ascendc-S4"
"80","https://github.com/bubu-12/Ascendc-S5","https://github.com/bubu-12/Ascendc-S5.git","R080_github_bubu-12_Ascendc-S5"
"81","https://github.com/Cishoon/AscendC-S4-Basic","https://github.com/Cishoon/AscendC-S4-Basic.git","R081_github_Cishoon_AscendC-S4-Basic"
"82","https://github.com/clamee/-AI---","https://github.com/clamee/-AI---.git","R082_github_clamee_-AI---"
"83","https://github.com/clamee/s6-Hypot","https://github.com/clamee/s6-Hypot.git","R083_github_clamee_s6-Hypot"
"84","https://github.com/DanceToBurning/Ascend-S6-/tree/main","https://github.com/DanceToBurning/Ascend-S6-.git","R084_github_DanceToBurning_Ascend-S6-"
"85","https://github.com/halfstark/ascend-s5","https://github.com/halfstark/ascend-s5.git","R085_github_halfstark_ascend-s5"
"86","https://github.com/JackSimbol02/CANN-Comp","https://github.com/JackSimbol02/CANN-Comp.git","R086_github_JackSimbol02_CANN-Comp"
"87","https://github.com/KaranocaVe/AscendC-S6","https://github.com/KaranocaVe/AscendC-S6.git","R087_github_KaranocaVe_AscendC-S6"
"88","https://github.com/kgcyyds/S4.git","https://github.com/kgcyyds/S4.git","R088_github_kgcyyds_S4"
"89","https://github.com/kgcyyds/S5_HustAga.git","https://github.com/kgcyyds/S5_HustAga.git","R089_github_kgcyyds_S5_HustAga"
"90","https://github.com/kgcyyds/S6.git","https://github.com/kgcyyds/S6.git","R090_github_kgcyyds_S6"
