"OriginalUrl","Sources","Category","NormalizedCloneUrl","DiscoveryMethods","AuditStatus"
"http://e.huawei.com/","华为云Ascend C算子开发环境搭建手册.docx","WebPage","","Visible text / Word HYPERLINK field","Pending merge with retrieval results"
"https://console.huaweicloud.com/iam/?region=cn-southwest-2&locale=zh-cn#/mine/apiCredential","算子挑战赛（S9赛季）云资源代金券申请指南.pdf","CloudConsole","","PDF text/annotation","Pending merge with retrieval results"
"https://console.huaweicloud.com/modelarts/?region=cn-north-4","华为云Ascend C算子开发环境搭建手册.docx","CloudConsole","","Word HYPERLINK field","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.1/generated/torch.autograd.functional.jvp.html#torch.autograd.functional.jvp","S5挑战性能赛题_01.xlsx","Specification","","artifact-tool workbook inspection","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.1/generated/torch.bitwise_left_shift.html#torch-bitwise-left-shift","S5挑战性能赛题_01.xlsx","Specification","","artifact-tool workbook inspection","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.1/generated/torch.copysign.html#torch-copysign","S5挑战性能赛题_01.xlsx","Specification","","artifact-tool workbook inspection","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.1/generated/torch.gcd.html#torch.gcd","算子挑战赛年度冠军赛【挑战性能命题】赛题_01.xlsx","Specification","","artifact-tool workbook inspection","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.1/generated/torch.lcm.html#torch.lcm","S5挑战性能赛题_01.xlsx","Specification","","artifact-tool workbook inspection","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.1/generated/torch.linspace.html#torch-linspace","算子挑战赛年度冠军赛【基础性能命题】赛题_01.xlsx","Specification","","artifact-tool workbook inspection","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.1/generated/torch.logsumexp.html#torch-logsumexp","S5基础性能赛题_01.xlsx","Specification","","artifact-tool workbook inspection","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.1/generated/torch.nn.functional.glu.html#torch.nn.functional.glu","S5挑战性能赛题_01.xlsx","Specification","","artifact-tool workbook inspection","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.1/generated/torch.nonzero.html#torch-nonzero","算子挑战赛年度冠军赛【基础性能命题】赛题_01.xlsx","Specification","","artifact-tool workbook inspection","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.1/generated/torch.sort.html#torch.sort","S5基础性能赛题_01.xlsx","Specification","","artifact-tool workbook inspection","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.1/generated/torch.trunc.html","算子挑战赛年度冠军赛【基础性能命题】赛题_01.xlsx","Specification","","artifact-tool workbook inspection","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.5/generated/torch.argmin.html#torch-argmin","S6基础性能赛题_01.xlsx","Specification","","artifact-tool workbook inspection","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.5/generated/torch.argsort.html#torch-argsort","S6基础性能赛题_01.xlsx","Specification","","artifact-tool workbook inspection","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.5/generated/torch.cat.html#torch.cat","算子挑战赛S9赛题_01.xlsx；S9挑战性能赛题说明.xlsx","Specification","","artifact-tool workbook inspection；Visible text / S9 workbook","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.5/generated/torch.fmin.html#torch.fmin","S6挑战性能赛题_01.xlsx","Specification","","artifact-tool workbook inspection","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.5/generated/torch.gt.html#torch.gt","算子挑战赛S9赛题_01.xlsx；S9挑战性能赛题说明.xlsx","Specification","","artifact-tool workbook inspection；Visible text / S9 workbook","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.5/generated/torch.hypot.html#torch.hypot","S6挑战性能赛题_01.xlsx","Specification","","artifact-tool workbook inspection","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.5/generated/torch.index_add.html#torch-index-add","算子挑战赛S9赛题_01.xlsx；S9挑战性能赛题说明.xlsx","Specification","","artifact-tool workbook inspection；Visible text / S9 workbook","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.5/generated/torch.logcumsumexp.html#torch-logcumsumexp","S6挑战性能赛题_01.xlsx","Specification","","artifact-tool workbook inspection","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.5/generated/torch.nn.FractionalMaxPool3d.html#fractionalmaxpool3d","S6挑战性能赛题_01.xlsx","Specification","","artifact-tool workbook inspection","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.5/generated/torch.nn.GroupNorm.html#torch.nn.GroupNorm","S6基础性能赛题_01.xlsx","Specification","","artifact-tool workbook inspection","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.5/generated/torch.permute.html#torch-permute","算子挑战赛S9赛题_01.xlsx；S9挑战性能赛题说明.xlsx","Specification","","artifact-tool workbook inspection；Visible text / S9 workbook","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.5/generated/torch.square.html#torch-square","算子挑战赛S9赛题_01.xlsx；S9挑战性能赛题说明.xlsx","Specification","","artifact-tool workbook inspection；Visible text / S9 workbook","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.5/generated/torch.sum.html#torch.sum","算子挑战赛S9赛题_01.xlsx；S9挑战性能赛题说明.xlsx","Specification","","artifact-tool workbook inspection；Visible text / S9 workbook","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.5/generated/torch.Tensor.expand.html","S6基础性能赛题_01.xlsx","Specification","","artifact-tool workbook inspection","Pending merge with retrieval results"
"https://docs.pytorch.org/docs/2.5/generated/torch.Tensor.index_add_.html#torch.Tensor.index_add_","torch.index_add 2.5 页面正文的必要跟进链接","SpecificationFollowUp","","Referenced by official torch.index_add page","Archived as S046_torch.Tensor.index_add_.html"
"https://docs.pytorch.org/docs/stable/generated/torch.nn.LSTM.html#torch.nn.LSTM","S6基础性能赛题_01.xlsx","Specification","","artifact-tool workbook inspection","Pending merge with retrieval results"
"https://docs.scipy.org/doc/scipy/reference/generated/scipy.special.fresnel.html#scipy.special.fresnel","S5基础性能赛题_01.xlsx","Specification","","artifact-tool workbook inspection","Pending merge with retrieval results"
"https://edu.hicomputing.huawei.com/","算子挑战赛（S9赛季）云资源代金券申请指南.pdf","VoucherPage","","PDF text/annotation","Pending merge with retrieval results"
"https://edu.hicomputing.huawei.com/teaching/voucher-details/invite/202603273nttxWIz","算子挑战赛（S9赛季）云资源代金券申请指南.pdf","VoucherPage","","PDF annotation","Pending merge with retrieval results"
"https://gitcode.com/LiJianhao2/AscendS6","往届冠军开源项目.docx","Repository","https://gitcode.com/LiJianhao2/AscendS6.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitcode.com/szdaniel/S6T","往届冠军开源项目.docx","Repository","https://gitcode.com/szdaniel/S6T.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/a1535135509/S4_-Gather/tree/master","往届冠军开源项目.docx","Repository","https://gitee.com/a1535135509/S4_-Gather.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/a1535135509/titr_-js","往届冠军开源项目.docx","Repository","https://gitee.com/a1535135509/titr_-js.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/a3276132451/ascend-c-champion-nobi","往届冠军开源项目.docx","Repository","https://gitee.com/a3276132451/ascend-c-champion-nobi.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/aallyy/s4-competition-open-source","往届冠军开源项目.docx","Repository","https://gitee.com/aallyy/s4-competition-open-source.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/aallyy/s5-competition-open-source","往届冠军开源项目.docx","Repository","https://gitee.com/aallyy/s5-competition-open-source.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/alizen/ascend-s3_base","往届冠军开源项目.docx","Repository","https://gitee.com/alizen/ascend-s3_base.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/aoitok/ascendc_s4","往届冠军开源项目.docx","Repository","https://gitee.com/aoitok/ascendc_s4.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/ascend-operator/s4","往届冠军开源项目.docx","Repository","https://gitee.com/ascend-operator/s4.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/ascend-operator/s6","往届冠军开源项目.docx","Repository","https://gitee.com/ascend-operator/s6.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/atom0123/reduce-log-sum-exp","往届冠军开源项目.docx","Repository","https://gitee.com/atom0123/reduce-log-sum-exp.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/bingfeng777/ascend-operator-challenge-2024championships-challenge","往届冠军开源项目.docx","Repository","https://gitee.com/bingfeng777/ascend-operator-challenge-2024championships-challenge.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/bingfeng777/ascend-operator-challenge-s4-challenge","往届冠军开源项目.docx","Repository","https://gitee.com/bingfeng777/ascend-operator-challenge-s4-challenge.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/bingfeng777/ascend-operator-challenge-s5-challenge-ikuyo","往届冠军开源项目.docx","Repository","https://gitee.com/bingfeng777/ascend-operator-challenge-s5-challenge-ikuyo.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/bingfeng777/ascend-operator-challenge-s6-challenge-ikuyo","往届冠军开源项目.docx","Repository","https://gitee.com/bingfeng777/ascend-operator-challenge-s6-challenge-ikuyo.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/chengjiajun2023/s4","往届冠军开源项目.docx","Repository","https://gitee.com/chengjiajun2023/s4.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/darkduckforyou/ascend-s4","往届冠军开源项目.docx","Repository","https://gitee.com/darkduckforyou/ascend-s4.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/Doubleen233/ascend-c-s5-base","往届冠军开源项目.docx","Repository","https://gitee.com/Doubleen233/ascend-c-s5-base.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/Doubleen233/ascend-c-s6-base","往届冠军开源项目.docx","Repository","https://gitee.com/Doubleen233/ascend-c-s6-base.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/DreamOfAnts/td-worker-s2","往届冠军开源项目.docx","Repository","https://gitee.com/DreamOfAnts/td-worker-s2.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/fine116/kun-jin-cuo-hot-pot---s4","往届冠军开源项目.docx","Repository","https://gitee.com/fine116/kun-jin-cuo-hot-pot---s4.git","Visible text / S9 workbook","Pending merge with retrieval results"
