"SourcePath","FileName","Extension","Bytes","LastWriteTime","SHA256","IncludedInPackage"
"D:\29722\Desktop\GCC\榜单\Concat.docx","Concat.docx",".docx","14473","2026-07-24 16:13:44","7394BCE81FE5ABDB6E0FFB6C771B88511F0EA6C2C58247E7D9478BDD44E4DFA8","Referenced-or-copied"
"D:\29722\Desktop\GCC\榜单\Greater.docx","Greater.docx",".docx","14332","2026-07-24 16:14:17","57DCD843AB9D0883B006DBE44158F28FDE11545EF9B616E075C55142A8C5D559","Referenced-or-copied"
"D:\29722\Desktop\GCC\榜单\IndexAdd.docx","IndexAdd.docx",".docx","14467","2026-07-24 16:32:25","5F26A358EEFDC267ECF7FAAC9B1F538464F9AEED9A88FFD4A8BF7A96A28B576A","Referenced-or-copied"
"D:\29722\Desktop\GCC\榜单\SquareSumV1.docx","SquareSumV1.docx",".docx","14953","2026-07-24 16:37:10","3AE49BDB9F5C0817972522559CB2E61DA6989B22F638DE3E7A4A2D966CE7BCB4","Referenced-or-copied"
"D:\29722\Desktop\GCC\榜单\Transpose.docx","Transpose.docx",".docx","14680","2026-07-24 16:35:30","C43F771F00402E4D1637BC7AF2F23444F49C6B51F25CE6DB154555A0C6083712","Referenced-or-copied"
"D:\29722\Desktop\GCC\参考材料（往届优秀代码）\评分规则.docx","评分规则.docx",".docx","186015","2026-07-23 17:42:15","B23F327DFDCEABF9001CBF51BF729105557778993B6FFE880B58B73F419E66F3","Referenced-or-copied"
"D:\29722\Desktop\GCC\参考材料（往届优秀代码）\算子挑战赛年度冠军赛【基础性能命题】赛题.zip","算子挑战赛年度冠军赛【基础性能命题】赛题.zip",".zip","49416","2026-07-23 17:55:16","ABD1CF3A09891DB4DDFE26A29FBBC7C46FA351225B824B79D254A0799AD5A3A7","Referenced-or-copied"
"D:\29722\Desktop\GCC\参考材料（往届优秀代码）\算子挑战赛年度冠军赛【挑战性能命题】赛题.zip","算子挑战赛年度冠军赛【挑战性能命题】赛题.zip",".zip","24070","2026-07-23 17:55:20","B4934CE35CB3AEBF624C1EF699AD89A7FBB5F2980F4C535EFF2ECE812FA38D30","Referenced-or-copied"
"D:\29722\Desktop\GCC\参考材料（往届优秀代码）\往届冠军开源项目.docx","往届冠军开源项目.docx",".docx","61970","2026-07-23 17:45:35","871201A6017462F758999E03EA021CCFE1F939127BE03726518BA5BCDA517443","Referenced-or-copied"
"D:\29722\Desktop\GCC\参考材料（往届优秀代码）\case_base.tar.gz","case_base.tar.gz",".gz","40712","2026-07-23 17:55:31","3A3530B21353AD68CC333434D7A85071C8ED87A52315369E1F2A75BCD69FEC62","Referenced-or-copied"
"D:\29722\Desktop\GCC\参考材料（往届优秀代码）\case_prof.tar.gz","case_prof.tar.gz",".gz","363832","2026-07-23 17:55:36","23CB849182875BF98230E3A86BDA7418A0A0C3344739D3916391716AE2C65530","Referenced-or-copied"
"D:\29722\Desktop\GCC\参考材料（往届优秀代码）\S4基础性能赛题.zip","S4基础性能赛题.zip",".zip","66493","2026-07-23 17:55:26","6B35F5D3E4FDE17CF8C45C7DFFBEA069DA7B73E62F30FD3F5BE51E439731A09E","Referenced-or-copied"
"D:\29722\Desktop\GCC\参考材料（往届优秀代码）\S4挑战性能赛题.zip","S4挑战性能赛题.zip",".zip","68021","2026-07-23 17:55:36","3D4B7AEBE4189D8394CDB841AF29F35C0DDB3AB84C36720A9994741235C570DD","Referenced-or-copied"
"D:\29722\Desktop\GCC\参考材料（往届优秀代码）\S5基础性能赛题.zip","S5基础性能赛题.zip",".zip","98574","2026-07-23 17:55:00","4E12A5545FAB4EB500C2F201CBFE8D4483752DFAC7F82702803A046FCD486A8D","Referenced-or-copied"
"D:\29722\Desktop\GCC\参考材料（往届优秀代码）\S5挑战性能赛题.zip","S5挑战性能赛题.zip",".zip","94564","2026-07-23 17:54:35","621814A5CE8D9CFF004758E63C1386B72BD1EF726BF35B540FF14441C27D661F","Referenced-or-copied"
"D:\29722\Desktop\GCC\参考材料（往届优秀代码）\S6基础性能赛题.zip","S6基础性能赛题.zip",".zip","98028","2026-07-23 17:53:54","FEDC6492B0EF495B8EC25DB75008D2D1FA6ABB0DB58FC591157C2F5FC12D1B73","Referenced-or-copied"
"D:\29722\Desktop\GCC\参考材料（往届优秀代码）\S6挑战性能赛题.zip","S6挑战性能赛题.zip",".zip","98962","2026-07-23 17:54:07","402FD7F30EA33B6EC1ABC7928B4FE9AA0F8BF03CFB4921C561700D90F0149BB1","Referenced-or-copied"
"D:\29722\Desktop\GCC\华为云Ascend C算子开发环境搭建手册.docx","华为云Ascend C算子开发环境搭建手册.docx",".docx","1305871","2026-07-22 14:52:53","4AF2B2A29DE60D88828AFE92553770D76EC9188274A11300C4A897A85B944779","Referenced-or-copied"
"D:\29722\Desktop\GCC\算子挑战赛（S9赛季）云资源代金券申请指南.pdf","算子挑战赛（S9赛季）云资源代金券申请指南.pdf",".pdf","491107","2026-07-22 15:51:24","5594D1362D84A79C1EBC593B6D7827500405626B8C248F2C2D125B88306774A5","Referenced-or-copied"
"D:\29722\Desktop\GCC\算子挑战赛S9赛题.zip","算子挑战赛S9赛题.zip",".zip","71404","2026-07-23 14:53:36","DAB2D9458AE35FC2683424B6C6EE352E58FB710F93D394D024B1FA6E1E602499","Referenced-or-copied"
"D:\29722\Desktop\GCC\提交相关材料\提交说明文档.docx","提交说明文档.docx",".docx","185953","2026-07-24 18:17:01","D849FC373439D681DC7895D38B920E217C260601F2235CC3C13FCD8C7901694B","Referenced-or-copied"
