"Index","Sources","Category","OriginalUrl","ArchiveFile","Status","HttpStatus","FinalUrl","Title","Bytes","RetrievedAt","Seconds","Message"
"1","华为云Ascend C算子开发环境搭建手册.docx","WebPage","http://e.huawei.com/","S001.html","Failed","502","http://e.huawei.com/","","0","2026-07-25 15:16:13","6","Response status code does not indicate success: 502 (Bad Gateway)."
"2","算子挑战赛（S9赛季）云资源代金券申请指南.pdf","CloudConsole","https://console.huaweicloud.com/iam/?region=cn-southwest-2&locale=zh-cn#/mine/apiCredential","S002.html","Archived","200","https://console.huaweicloud.com/iam/?region=cn-southwest-2&locale=zh-cn#/mine/apiCredential","","1000","2026-07-25 15:16:10","2.3",""
"3","华为云Ascend C算子开发环境搭建手册.docx","CloudConsole","https://console.huaweicloud.com/modelarts/?region=cn-north-4","S003.html","Archived","200","https://console.huaweicloud.com/modelarts/?region=cn-north-4","","1000","2026-07-25 15:16:11","3.2",""
"4","S5挑战性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.1/generated/torch.autograd.functional.jvp.html#torch.autograd.functional.jvp","S004.html","Archived","200","https://docs.pytorch.org/docs/2.1/generated/torch.autograd.functional.jvp.html#torch.autograd.functional.jvp","torch.autograd.functional.jvp — PyTorch 2.1 documentation","49803","2026-07-25 15:16:10","2.8",""
"5","S5挑战性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.1/generated/torch.bitwise_left_shift.html#torch-bitwise-left-shift","S005.html","Archived","200","https://docs.pytorch.org/docs/2.1/generated/torch.bitwise_left_shift.html#torch-bitwise-left-shift","torch.bitwise_left_shift — PyTorch 2.1 documentation","46448","2026-07-25 15:16:09","1.2",""
"6","S5挑战性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.1/generated/torch.copysign.html#torch-copysign","S006.html","Archived","200","https://docs.pytorch.org/docs/2.1/generated/torch.copysign.html#torch-copysign","torch.copysign — PyTorch 2.1 documentation","52113","2026-07-25 15:16:09","2",""
"7","算子挑战赛年度冠军赛【挑战性能命题】赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.1/generated/torch.gcd.html#torch.gcd","S007.html","Archived","200","https://docs.pytorch.org/docs/2.1/generated/torch.gcd.html#torch.gcd","torch.gcd — PyTorch 2.1 documentation","44756","2026-07-25 15:16:10","2.8",""
"8","S5挑战性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.1/generated/torch.lcm.html#torch.lcm","S008.html","Archived","200","https://docs.pytorch.org/docs/2.1/generated/torch.lcm.html#torch.lcm","torch.lcm — PyTorch 2.1 documentation","45955","2026-07-25 15:16:09","2.1",""
"9","算子挑战赛年度冠军赛【基础性能命题】赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.1/generated/torch.linspace.html#torch-linspace","S009.html","Archived","200","https://docs.pytorch.org/docs/2.1/generated/torch.linspace.html#torch-linspace","torch.linspace — PyTorch 2.1 documentation","53229","2026-07-25 15:16:10","1.1",""
"10","S5基础性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.1/generated/torch.logsumexp.html#torch-logsumexp","S010.html","Archived","200","https://docs.pytorch.org/docs/2.1/generated/torch.logsumexp.html#torch-logsumexp","torch.logsumexp — PyTorch 2.1 documentation","49223","2026-07-25 15:16:11","1.6",""
"11","S5挑战性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.1/generated/torch.nn.functional.glu.html#torch.nn.functional.glu","S011.html","Archived","200","https://docs.pytorch.org/docs/2.1/generated/torch.nn.functional.glu.html#torch.nn.functional.glu","torch.nn.functional.glu — PyTorch 2.1 documentation","44591","2026-07-25 15:16:10","0.8",""
"12","算子挑战赛年度冠军赛【基础性能命题】赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.1/generated/torch.nonzero.html#torch-nonzero","S012.html","Archived","200","https://docs.pytorch.org/docs/2.1/generated/torch.nonzero.html#torch-nonzero","torch.nonzero — PyTorch 2.1 documentation","54217","2026-07-25 15:16:11","1.6",""
"13","S5基础性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.1/generated/torch.sort.html#torch.sort","S013.html","Archived","200","https://docs.pytorch.org/docs/2.1/generated/torch.sort.html#torch.sort","torch.sort — PyTorch 2.1 documentation","46908","2026-07-25 15:16:11","1.2",""
"14","算子挑战赛年度冠军赛【基础性能命题】赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.1/generated/torch.trunc.html","S014.html","Archived","200","https://docs.pytorch.org/docs/2.1/generated/torch.trunc.html","torch.trunc — PyTorch 2.1 documentation","42189","2026-07-25 15:16:11","1.1",""
"15","S6基础性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.5/generated/torch.argmin.html#torch-argmin","S015.html","Archived","200","https://docs.pytorch.org/docs/2.5/generated/torch.argmin.html#torch-argmin","torch.argmin — PyTorch 2.5 documentation","48897","2026-07-25 15:16:11","1.1",""
"16","S6基础性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.5/generated/torch.argsort.html#torch-argsort","S016.html","Archived","200","https://docs.pytorch.org/docs/2.5/generated/torch.argsort.html#torch-argsort","torch.argsort — PyTorch 2.5 documentation","49008","2026-07-25 15:16:11","1.1",""
"17","S6挑战性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.5/generated/torch.fmin.html#torch.fmin","S017.html","Archived","200","https://docs.pytorch.org/docs/2.5/generated/torch.fmin.html#torch.fmin","torch.fmin — PyTorch 2.5 documentation","49020","2026-07-25 15:16:12","1.1",""
"18","S6挑战性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.5/generated/torch.hypot.html#torch.hypot","S018.html","Archived","200","https://docs.pytorch.org/docs/2.5/generated/torch.hypot.html#torch.hypot","torch.hypot — PyTorch 2.5 documentation","52012","2026-07-25 15:16:12","1.4",""
