"Index","Sources","Category","Url","FileName"
"1","华为云Ascend C算子开发环境搭建手册.docx","WebPage","http://e.huawei.com/","S001.html"
"2","算子挑战赛（S9赛季）云资源代金券申请指南.pdf","CloudConsole","https://console.huaweicloud.com/iam/?region=cn-southwest-2&locale=zh-cn#/mine/apiCredential","S002.html"
"3","华为云Ascend C算子开发环境搭建手册.docx","CloudConsole","https://console.huaweicloud.com/modelarts/?region=cn-north-4","S003.html"
"4","S5挑战性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.1/generated/torch.autograd.functional.jvp.html#torch.autograd.functional.jvp","S004.html"
"5","S5挑战性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.1/generated/torch.bitwise_left_shift.html#torch-bitwise-left-shift","S005.html"
"6","S5挑战性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.1/generated/torch.copysign.html#torch-copysign","S006.html"
"7","算子挑战赛年度冠军赛【挑战性能命题】赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.1/generated/torch.gcd.html#torch.gcd","S007.html"
"8","S5挑战性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.1/generated/torch.lcm.html#torch.lcm","S008.html"
"9","算子挑战赛年度冠军赛【基础性能命题】赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.1/generated/torch.linspace.html#torch-linspace","S009.html"
"10","S5基础性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.1/generated/torch.logsumexp.html#torch-logsumexp","S010.html"
"11","S5挑战性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.1/generated/torch.nn.functional.glu.html#torch.nn.functional.glu","S011.html"
"12","算子挑战赛年度冠军赛【基础性能命题】赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.1/generated/torch.nonzero.html#torch-nonzero","S012.html"
"13","S5基础性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.1/generated/torch.sort.html#torch.sort","S013.html"
"14","算子挑战赛年度冠军赛【基础性能命题】赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.1/generated/torch.trunc.html","S014.html"
"15","S6基础性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.5/generated/torch.argmin.html#torch-argmin","S015.html"
"16","S6基础性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.5/generated/torch.argsort.html#torch-argsort","S016.html"
"17","S6挑战性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.5/generated/torch.fmin.html#torch.fmin","S017.html"
"18","S6挑战性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.5/generated/torch.hypot.html#torch.hypot","S018.html"
"19","S6挑战性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.5/generated/torch.logcumsumexp.html#torch-logcumsumexp","S019.html"
"20","S6挑战性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.5/generated/torch.nn.FractionalMaxPool3d.html#fractionalmaxpool3d","S020.html"
"21","S6基础性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.5/generated/torch.nn.GroupNorm.html#torch.nn.GroupNorm","S021.html"
"22","S6基础性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.5/generated/torch.Tensor.expand.html","S022.html"
