"Index","CloneUrl","LocalDirectory","Branch","Head","CommitDate","READMEFirstLine","TopLevelEntries","OperatorHints","IndexedFiles","CodeFiles","CodeBytes","DataCopy","DataCopyPad","DataCopyExtParams","TPipe","TQue","TBuf","PipeBarrier","SetAtomicAdd","SetVectorMask","WholeReduceSum","ReduceSum","Compare","Select","Gather","Scatter","Transpose","Cast","Matmul","Tiling","Template","BufferNum","BlockIndex","Alignment"
"2","https://gitcode.com/szdaniel/S6T.git","R002_gitcode_szdaniel_S6T","main","f99dcaf295ace3d29875eaba6f69b1a333b92620","2025/12/14 20:28:11","S6T","Fmin | FractionalMaxPool3D | FractionalMaxPool3DGrad | Hypot | Logcumsumexp | README.md","Fmin | FractionalMaxPool3D | FractionalMaxPool3DGrad | Hypot | Logcumsumexp","162","21","278755","0","55","52","25","58","335","0","0","0","0","0","2","2","4","0","0","163","0","15","26","119","118","0"
"71","https://github.com/2044145178/AscendC_S4.git","R071_github_2044145178_AscendC_S4","master","5ccb1b19243dabf7bec46803d5394140e81400ba","2025/5/30 11:01:41","AscendC_S4","Eye | Heaviside | ScatterReduce | README.md","Eye | Heaviside | ScatterReduce","95","21","186383","42","0","0","42","38","28","0","0","0","0","0","0","32","8","0","0","0","0","22","6","84","50","0"
"72","https://github.com/2044145178/AscendC_S5.git","R072_github_2044145178_AscendC_S5","master","ae449ce42d5f73b98993733a5d0e192722f3cf8a","2025/9/7 16:28:34","AscendC_S5","BitwiseLeftShift | Copysign | GluGradJvp | GluJvp | Lcm | README.md","BitwiseLeftShift | Copysign | GluGradJvp | GluJvp | Lcm","46","37","251223","32","47","22","56","82","40","0","0","0","0","0","0","14","18","0","0","87","0","15","19","66","92","0"
"73","https://github.com/ascend-124/s4.git","R073_github_ascend-124_s4","main","72fa362b1e2378ef972dc20818fc5e5ce318164b","2025/6/2 16:08:02","[![License: GPL v2](https://img.shields.io/badge/License-GPL%20v2-blue.svg)](https://www.gnu.org/licenses/old-licenses/gpl-2.0.en.html)","Eye","Eye","25","3","7445","1","4","1","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","1","0"
"74","https://github.com/ascend-124/s5.git","R074_github_ascend-124_s5","main","e59405e7b136699c7181d7df48db9f7019760c60","2025/9/14 15:58:03","[![License: GPL v2](https://img.shields.io/badge/License-GPL%20v2-blue.svg)](https://www.gnu.org/licenses/old-licenses/gpl-2.0.en.html)","BitwiseLeftShift","BitwiseLeftShift","30","3","28075","12","2","2","5","8","5","0","0","0","0","0","0","2","6","0","0","10","0","3","1","0","5","0"
"75","https://github.com/ascend-124/s6.git","R075_github_ascend-124_s6","main","53e47bdf0b140ded0a1549ec8117399029de6b9a","2025/11/16 21:51:34","[![License: GPL v2](https://img.shields.io/badge/License-GPL%20v2-blue.svg)](https://www.gnu.org/licenses/old-licenses/gpl-2.0.en.html)","Fmin | Hypot","Fmin | Hypot","60","6","108054","42","4","4","16","28","2","0","0","0","0","0","14","10","12","0","0","18","0","6","32","0","16","0"
"76","https://github.com/asfsdsf/AscendC-S6.git","R076_github_asfsdsf_AscendC-S6","master","25395bf61e53625ebf6bfc3f93e65d849420e07b","2025/11/17 16:30:28","昇腾AI创新大赛-算子挑战赛S6-挑战性能命题-开源仓","Logcumsumexp | LICENSE | README.md","Logcumsumexp","34","4","32843","15","4","4","1","2","7","0","0","0","0","0","0","0","0","0","0","7","0","3","3","5","4","0"
"77","https://github.com/Brown-Bert/S4.git","R077_github_Brown-Bert_S4","main","e8b2973bc9f677373a81c52d2f65aa2b80e4bc69","2025/6/3 15:36:04","[![License: GPL v2](https://img.shields.io/badge/License-GPL%20v2-blue.svg)](https://www.gnu.org/licenses/old-licenses/gpl-2.0.en.html)","Gather | Pows | Reshape | RmsNorm | SelectV2","SelectV2 | SelectV2_zip","57","17","168402","8","0","0","2","6","2","0","0","0","0","0","0","0","0","0","0","18","0","6","67","18","2","0"
"78","https://github.com/Brown-Bert/S5.git","R078_github_Brown-Bert_S5","main","323fad762be0213f6e3cf388f33acbc840af09db","2025/9/12 17:16:59","S5","case_310b | README.md","GatherV3 | GatherV3_zip | PROF_000001_20250626220740489_ORIFJIMBBLRKHMFC | ReduceLogSumExp | ReduceLogSumExp_zip | Sort | Sort_zip","156","32","338298","154","0","0","7","14","3","0","0","0","0","4","2","2","0","0","0","14","1","18","65","69","0","0"
"79","https://github.com/bubu-12/Ascendc-S4.git","R079_github_bubu-12_Ascendc-S4","master","3aa12fad494738e3ea52ad6d537242352a4c0f59","2025/5/30 22:24:04","","cgemm_matmul | Heaviside | ScatterReduce","cgemm_matmul | Heaviside | ScatterReduce","15","9","126921","14","18","12","5","28","3","0","0","0","0","0","0","4","3","0","0","0","5","18","6","7","10","9"
